Numero,Codigo_Unico,Nombre,Total_Presupuesto_de_Egresos_Autorizado_PEA,PEA_Servicios_Personales,PEA_Materiales_y_Suministros,PEA_Servicios_Generales,PEA_Transferencias,PEA_Bienes_Muebles_e_Inmuebles,PEA_Obras_Publicas_y_Construcciones,PEA_Deuda_Publica_Presupuestada,PEA_FISM,PEA_FORTAMUN_DF,PEA_Otras_Aportaciones,PEA_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Total_Presupuesto_de_Egresos_Ejercido_PEE,PEE_Servicios_Personales,PEE_Materiales_y_Suministros,PEE_Servicios_Generales,PEE_Transferencias,PEE_Bienes_Muebles_e_Inmuebles,PEE_Obras_Publicas_y_Construcciones,PEE_Deuda_Publica_Presupuestada,PEE_FISM,PEE_FORTAMUN_DF,PEE_Otras_Aportaciones,PEE_Inversion_en_Infraestructura_y_Equipamiento_Urbano_Municipal,Poblacion_Total,Ejercicio
66,200100660000000000, URUACHI ,39327766.11,9649339.11,1724637.05,1202480,2400000,905800,1581109.44,500000,17693082,3671318.51,0,0,42178273.27,10455840,2467842.5,3650501.79,2603997.9,0,0,0,20631875.3,2337946.79,30268.99,0,8200,2012
67,200100670000000000, VALLE DE ZARAGOZA ,26250588.63,7215638.74,2709258.23,4225000,1770000,857000,2530791.41,1538000,3118658,2286242.25,0,0,25342795.69,7546831.97,2878976.49,3578864.48,2432527.08,0,914279.94,0,2166357,2234372.84,3590585.89,0,5105,2012
1,200100010000000000, AHUMADA ,42720808.88,19460650,3524004.32,5276000,4320000,0,2076211.36,0,2689914.91,5374028.29,0,0,51699961.5,21661754.68,3961441.92,7663871.25,5023138.99,0,4446334.01,0,3187021.86,5721659.79,34739,0,11457,2013
2,200100020000000000, ALDAMA ,59034491.53,22926085.07,3412500,7597000,3735300,400000,7400945.52,0,3101669.49,10460991.45,0,0,63008944.76,21917581.12,4098835.58,9960323.86,5796111.28,0,4660344.38,10327.56,2622967.17,9970157.54,3006637.51,965658.76,22302,2013
3,200100030000000000, ALLENDE ,34679494.06,12780550,4261700,4341265.51,2426500,710000,2181912.88,2000000,2033234.35,3944331.32,0,0,34473779.19,12875818.67,4202231.33,4655762.88,2243794.35,0,3597893.69,0,2148727.04,3907635.39,677602.6,164313.24,8409,2013
4,200100040000000000, AQUILES SERDAN,42372777.32,18239020.61,4098361.05,9702143.54,3036005.12,0,1210000,0,1073926.37,5013320.63,0,0,42007885.72,20084331.24,4014559.36,8979759.74,3294031.73,0,822651.79,0,1577226.74,2935489.12,299836,0,10688,2013
5,200100050000000000, ASCENSION ,49728090.03,13218453.51,2153612,6278948.32,6805000,0,3041074.48,0,6985271.74,11245729.98,0,0,55134010.33,15752604.6,3525155.43,7822726.84,7853791.61,0,1555546.01,20000,7885430.33,10697632.34,21123.17,0,23975,2013
6,200100060000000000, BACHINIVA ,24377057.87,4643366.66,2932554.44,4305000,4985688.05,465000,1879952.46,700000,1645972.37,2819523.89,0,0,20372726.16,4701932.82,2483924.12,4276200.69,4055328.35,0,3260364.07,0,1837786.64,2397941.85,-2640752.38,0,6011,2013
7,200100070000000000, BALLEZA ,68273578.54,13113897.16,3480058.49,3466151.22,4668067.43,0,3933492.07,500000,30822671.7,8289240.47,0,0,68387064.73,13563593.68,3221065.27,3930506.35,4917712.92,0,1765782.23,0,32833695.98,7691205.3,463503,0,17672,2013
8,200100080000000000, BATOPILAS ,64137467.69,8325349.32,4107145.16,3871000,2068500,150000,1991749.6,0,36887074.02,6736649.59,0,0,73973797.97,8562702.35,5200048.59,4869458.12,2239755.85,0,368473.83,4334.26,37707069.09,6548511.46,8473444.42,0,14362,2013
